@relation anime_rating

@attribute Genre {A, B, C, D, E, F}
@attribute Director {A, B, C, D, E, F}
@attribute Storyboard {A, B, C, D, E, F}
@attribute CharacterDesign {A, B, C, D, E, F}
@attribute SoundDirector {A, B, C, D, E, F}
@attribute Producer {A, B, C, D, E, F}
@attribute AnimationProducer {A, B, C, D, E, F}
@attribute VoiceActor {A, B, C, D, E, F}
@attribute Class {A, B, C, D, E, F}

@data
C, D, D, C, C, C, C, C, D
C, C, C, C, C, C, C, C, D
C, B, B, B, B, B, B, B, B
B, B, B, B, C, B, B, B, B
B, C, C, C, C, C, C, C, C
B, B, B, B, C, A, B, B, B
C, C, C, D, C, C, C, C, D
B, B, B, C, C, C, B, B, C
B, A, A, B, B, B, B, B, B
C, B, C, B, C, C, B, B, C
C, C, C, C, C, C, C, B, C
B, A, B, A, A, A, B, B, A
C, C, C, C, C, C, C, B, C
B, C, C, C, C, C, B, C, C
C, D, C, D, C, C, D, C, D
B, B, B, B, C, B, B, B, B
C, A, B, B, B, B, B, B, A
C, C, B, B, B, B, B, B, B
B, B, B, B, B, B, C, B, B
C, C, C, C, C, C, C, C, C
B, B, B, B, C, B, B, B, B
C, C, C, C, B, C, B, C, C
B, B, B, B, C, C, B, B, C
B, B, C, B, C, B, C, B, B
C, C, C, C, D, C, C, D, D
C, D, C, C, C, C, C, C, D
C, B, C, B, C, B, C, B, B
C, B, C, B, B, C, C, C, C
B, B, B, A, C, A, B, B, A
B, B, B, B, A, B, B, B, A
C, C, C, B, C, C, C, C, C
B, B, C, B, C, B, B, B, B
C, C, B, B, C, B, B, B, B
B, C, B, B, C, B, B, C, B
C, C, C, B, C, C, B, C, C
B, B, B, C, C, B, C, B, B
B, C, C, C, C, C, C, C, C
B, B, B, B, C, B, B, B, B
C, A, B, B, B, A, B, B, A
B, C, C, C, C, C, B, C, C
C, B, C, C, C, B, C, B, C
B, C, C, C, C, C, C, B, C
C, B, B, B, C, C, C, B, B
B, B, B, B, C, B, B, B, B
B, C, C, C, B, C, C, C, B
C, D, C, E, D, B, C, F, E
C, B, B, B, B, B, B, B, B
C, A, B, A, C, B, B, B, B
B, B, C, B, C, C, C, B, B
B, A, B, B, B, A, B, B, A
B, B, B, B, B, B, B, B, A
C, C, C, D, C, C, C, C, C
B, B, B, B, B, B, B, B, B
C, A, B, A, A, A, B, B, A
C, B, B, B, C, B, B, B, B
B, B, C, C, B, C, C, C, C
C, C, B, B, C, B, B, B, B
C, C, C, D, C, C, C, B, D
C, C, C, C, C, C, C, C, C
C, B, B, B, B, B, C, B, B
C, C, D, C, C, C, C, B, C
C, B, C, B, C, C, C, B, C
C, D, D, D, C, C, C, C, D
C, B, B, B, C, C, B, B, B
C, C, B, B, B, B, B, B, B
C, B, B, B, C, B, B, B, B
C, B, C, B, C, C, C, B, B
B, B, C, B, B, B, B, B, B
B, D, C, D, C, D, D, B, D
C, B, B, B, C, B, B, B, B
C, C, C, D, C, F, C, C, D
B, C, C, B, C, C, C, C, C
B, A, B, B, B, B, B, B, B
C, C, B, B, C, C, C, B, C
C, C, C, C, C, C, C, B, B
C, D, C, C, C, C, C, B, C
C, B, B, B, B, B, B, B, B
C, B, B, B, C, B, B, C, B
C, D, C, C, C, D, B, C, E
C, C, D, B, C, B, B, B, B
C, B, B, B, B, A, B, B, A
C, D, C, C, C, C, C, C, D
B, B, B, B, C, C, B, B, B
B, B, B, B, C, C, D, B, B
C, C, C, C, B, C, B, C, C
C, C, C, D, D, D, C, E, D
C, C, C, C, D, C, C, C, D
C, E, C, D, C, D, D, C, E
B, C, B, B, B, B, B, B, B
B, B, B, B, C, B, C, B, B
C, B, B, B, C, B, B, B, B
C, B, C, D, D, C, B, C, D
B, B, C, B, C, B, B, C, B
C, D, E, C, C, C, C, C, D
B, B, B, B, C, B, B, B, B
C, C, C, C, C, C, C, F, C
B, C, B, B, B, B, C, B, B
C, B, B, C, B, C, B, B, C
B, B, B, B, C, B, B, B, B
C, B, B, B, C, B, B, B, B
B, C, C, C, C, C, C, C, C
B, B, B, B, C, C, B, C, B
C, B, C, C, C, C, C, B, C
C, A, B, B, B, B, B, B, B
B, B, C, A, C, B, B, B, B
C, C, C, B, C, C, B, B, B
C, C, D, C, C, C, C, B, B
C, C, C, C, B, C, C, C, C
B, C, B, C, C, C, B, C, C
B, B, B, B, C, C, B, B, B
C, B, B, B, C, B, C, B, B
C, C, D, E, D, C, B, C, E
B, B, B, B, C, B, B, C, B
C, B, B, B, B, B, B, B, B
C, B, B, B, C, C, B, B, B
C, C, C, D, C, C, B, D, D
C, C, C, C, C, C, C, C, D
B, A, A, B, B, B, B, B, A
B, A, A, B, B, B, B, B, A
C, B, B, B, B, B, B, B, C
C, B, B, D, B, C, B, C, C
C, B, C, B, D, C, B, C, D
C, C, B, B, C, C, B, C, C
B, B, B, B, C, B, C, B, B
C, C, B, C, C, C, C, B, B
C, B, C, C, B, C, C, C, C
C, B, B, B, B, B, C, B, B
B, B, B, A, B, B, B, B, B
B, B, B, B, C, C, B, C, C
C, B, C, C, C, C, C, C, B
B, B, B, C, C, C, B, C, B
C, C, C, C, C, B, B, B, C
B, C, C, C, C, C, C, C, C
B, C, D, D, D, D, D, C, D
B, B, B, B, C, E, B, C, B
B, B, B, C, C, C, B, B, B
C, C, C, D, C, B, B, B, C
C, C, D, B, C, B, B, B, B
B, C, D, D, D, D, D, E, D
C, C, C, C, D, B, C, C, C
B, B, B, A, C, A, B, B, A
B, D, C, E, C, D, B, C, E
C, C, B, B, C, B, C, B, B
B, C, B, B, C, B, C, B, B
C, B, C, B, B, F, C, B, B
C, B, C, B, C, B, B, B, B
B, A, A, B, B, A, B, B, A
C, A, B, B, C, B, B, B, B
C, C, C, C, C, C, B, B, C
C, C, B, B, B, B, B, B, C
C, C, C, D, D, C, C, C, D
C, B, B, C, C, B, C, B, B
C, B, B, B, C, B, B, B, B
B, B, B, B, B, B, B, B, B
C, B, B, B, C, B, B, B, B
B, C, C, C, B, C, C, C, C
C, B, B, B, C, B, B, B, B
C, D, B, D, D, D, B, C, D
C, B, B, B, B, B, B, B, C
C, B, B, B, B, A, B, C, B
C, B, B, B, B, B, B, B, B
C, E, E, E, E, E, E, D, E
B, A, B, A, C, B, A, B, A
B, A, B, A, C, B, A, B, A
C, C, C, C, C, C, C, C, C
B, A, B, B, B, B, B, B, B
C, B, D, D, C, C, C, C, D
B, B, D, B, C, C, C, B, C
B, B, B, B, C, C, A, B, B
C, C, C, B, C, C, C, B, C
C, C, B, C, C, C, B, B, C
B, C, C, C, C, C, C, B, C
C, C, C, C, C, C, C, B, C
C, C, C, C, C, C, C, C, C
C, D, C, D, C, C, C, C, D
C, B, B, B, C, B, C, B, B
C, B, C, C, D, C, B, C, D
B, B, C, C, C, C, B, C, C
B, B, B, C, A, B, B, B, A
B, A, B, A, B, B, B, B, A
C, C, C, C, C, C, B, C, C
C, D, C, D, C, C, C, C, D
B, B, D, B, C, B, B, C, B
C, C, C, C, C, C, C, B, B
C, C, C, C, C, C, C, B, C
B, C, C, C, B, C, C, C, C
C, C, C, C, C, B, B, B, B
B, B, C, B, C, B, B, B, B
B, C, C, C, C, C, C, C, D
C, C, C, C, D, C, C, C, D
C, C, C, C, C, B, B, B, C
D, D, C, D, C, D, C, C, C
C, C, C, D, C, C, C, C, B
C, B, B, B, C, B, B, B, B
C, C, C, C, D, C, B, C, C
B, B, B, B, B, B, B, B, B
C, D, D, C, D, C, C, C, C
C, B, C, C, C, F, B, B, C
C, B, B, B, B, B, B, B, B
C, C, D, C, C, C, C, C, D
B, B, B, B, B, F, B, B, B
C, B, B, B, B, E, B, C, B
C, B, B, C, B, C, C, B, C
C, B, B, B, C, B, B, C, B
C, D, C, D, C, D, C, C, E
C, A, B, C, C, B, A, B, A
C, C, C, D, D, D, C, C, D
B, D, C, D, C, C, C, C, D
C, C, D, D, D, D, D, C, C
C, B, B, D, B, C, C, B, C
C, B, B, B, C, B, B, B, B
C, C, C, B, C, B, B, C, D
C, B, B, B, C, C, B, B, B
B, B, B, C, B, B, B, B, B
C, C, C, B, C, C, C, C, C
C, B, B, B, B, B, B, B, B
B, B, B, C, C, B, B, B, B
C, F, F, B, C, C, C, C, C
C, C, C, C, B, B, C, C, C
C, B, C, C, C, B, C, B, B
C, A, B, B, B, B, B, B, A
B, D, B, D, C, C, B, C, D
C, B, E, D, E, D, B, C, E
C, C, B, B, C, C, B, B, C
C, C, C, D, C, C, D, C, D
B, C, B, C, C, C, B, C, C
B, B, B, B, C, B, B, C, B
C, C, C, C, C, C, B, C, C
C, B, C, C, C, C, C, C, C
C, B, B, B, C, B, B, C, B
C, C, C, C, C, B, B, B, C
C, B, C, C, B, C, B, C, D
B, B, B, A, B, B, B, C, B
C, B, B, A, C, B, B, B, A
C, C, C, B, C, B, B, B, B
C, C, C, D, C, C, C, C, E
C, B, B, B, B, B, B, B, B
C, C, C, D, D, D, C, C, D
B, B, B, B, C, D, B, C, C
C, C, C, D, D, C, B, C, D
C, A, B, B, B, B, B, B, A
C, B, B, B, C, B, B, B, B
C, B, B, B, B, B, B, C, A
C, D, C, C, D, C, D, C, D
C, C, B, B, C, B, B, B, B
C, C, C, C, C, C, C, C, D
B, D, B, D, C, C, D, C, D
